,idx_cd,eval_d,log_p,y
1265,RUSSELL2000,1984-06-30,4.60816569496789,0.026086956521739202
1266,RUSSELL2000,1984-07-31,4.55650501400681,-0.05034895314057819
1267,RUSSELL2000,1984-08-31,4.6654182663334485,0.11506561679790028
1268,RUSSELL2000,1984-09-30,4.655578088531937,-0.009791921664626613
1269,RUSSELL2000,1984-10-31,4.635408369048701,-0.019967671389179542
1270,RUSSELL2000,1984-11-30,4.606269581431392,-0.028718346754632695
1271,RUSSELL2000,1984-12-31,4.619960271460727,0.013784836679652246
1272,RUSSELL2000,1985-01-31,4.742930125692577,0.13085033008178137
1273,RUSSELL2000,1985-02-28,4.766778701184505,0.024135226975690705
1274,RUSSELL2000,1985-03-31,4.744236234111089,-0.02229028415858436
1275,RUSSELL2000,1985-04-30,4.730480376953538,-0.01366167768882709
1276,RUSSELL2000,1985-05-31,4.764393691536069,0.03449492721658598
1277,RUSSELL2000,1985-06-30,4.773899789262579,0.009551424185570534
1278,RUSSELL2000,1985-07-31,4.800407968048592,0.02686264571718211
1279,RUSSELL2000,1985-08-31,4.788324729085938,-0.012010529779532764
1280,RUSSELL2000,1985-09-30,4.724285666878253,-0.06203164029975017
1281,RUSSELL2000,1985-10-31,4.759863575664572,0.036218375499334154
1282,RUSSELL2000,1985-11-30,4.825269107116076,0.06759187869442296
1283,RUSSELL2000,1985-12-31,4.866533950121999,0.042128069330765516
1284,RUSSELL2000,1986-01-31,4.8811338654856735,0.014707014707014743
1285,RUSSELL2000,1986-02-28,4.948759890378168,0.06996509333738055
1286,RUSSELL2000,1986-03-31,4.994709143545997,0.04702127659574473
1287,RUSSELL2000,1986-04-30,5.008366054652212,0.013750592697961084
1288,RUSSELL2000,1986-05-31,5.040905817114504,0.033074969931845555
1289,RUSSELL2000,1986-06-30,5.0384449947355225,-0.002457797037707987
1290,RUSSELL2000,1986-07-31,4.939139292391186,-0.09453413732736815
1291,RUSSELL2000,1986-08-31,4.968632046615798,0.029931972789115635
1292,RUSSELL2000,1986-09-30,4.903272775767756,-0.06326913717583271
1293,RUSSELL2000,1986-10-31,4.941285215961463,0.03874415497661987
1294,RUSSELL2000,1986-11-30,4.936342689514401,-0.0049303322615219525
1295,RUSSELL2000,1986-12-31,4.90527477843843,-0.0305902628177509
1296,RUSSELL2000,1987-01-31,5.013830184992774,0.1146666666666667
1297,RUSSELL2000,1987-02-28,5.092768123634778,0.08213716108452962
1298,RUSSELL2000,1987-03-31,5.116735536089082,0.024256939326946725
1299,RUSSELL2000,1987-04-30,5.086484606379694,-0.029797949517357147
1300,RUSSELL2000,1987-05-31,5.081528580871835,-0.004943764676801243
1301,RUSSELL2000,1987-06-30,5.104429173382616,0.0231648242454352
1302,RUSSELL2000,1987-07-31,5.131495073201006,0.027435508345978743
1303,RUSSELL2000,1987-08-31,5.160491049640633,0.02942045253145853
1304,RUSSELL2000,1987-09-30,5.140551827649969,-0.019741750358680088
